c++程序设计教程（通用版）（第三版） 钱能著 978-7-3025-2126-6 TP313
亲历政协30年 卞晋平著 978-7-5205-0547-5 I251
第二个经典时代 吕正惠著 978-7-108-06317-5 I206
人大法律评论 中国人民大学法学院《人大法律评论》编辑委员会编 978-7-5197-3815-0 D90-53
春秋繁露 董仲舒著 978-7-5013-6752-8 B234
网络谣言的善治研究 刘荣著 978-7-307-20689-2 D669
Excel教科书 (日)吉田拳著 978-7-5139-2341-5 TP391
C语言程序设计 周幸妮著 978-7-121-37098-4 TP312C
最新版考研英语时文阅读宝典120+60 徐绽主编 978-7-5124-2969-7 H319
法国噪声污染防治法规标准解读 生态环境部核与辐射安全中心主编 978-7-5111-4132-3 D956
世界文学史纲 蒋承勇主编 978-7-309-14236-5 I109
计算机控制技术 李莉编著 978-7-111-63092-0 TP273
一个陌生女人的来信 (奥)斯蒂芬·茨威格著 978-7-5139-2466-5 I521
尼采如何克服历史主义 (美)施特劳斯讲疏 978-7-5675-9108-0 B516
陶渊明谢灵运鲍照诗文选评 曹明纲撰 978-7-5325-9261-6 I206
装在口袋里的爸爸 杨鹏著 978-7-5313-5648-6 I287
2018年中国人民银行规章及重要规范性文件解读 刘国强主编 978-7-5220-0181-4 F832
英国公司法与商法 陶涛主编 978-7-121-34887-7 D956
罪犯改造论 吴宗宪著 978-7-100-17620-0 D916
书艺东坡 衣若芬著 978-7-5325-9078-0 J292
皇帝的四库 (美)盖博坚著 978-7-300-26950-4 Z121
新批判主义 邓晓芒著 978-7-5212-0165-9 B085-53
康德哲学诸问题 邓晓芒著 978-7-80554-692-6 B516
当代中国社会分层 李强著 978-7-80768-257-8 D663
基于公司治理视角的机构投资者持股对高管股权激励效果研究 董艳著 978-7-5141-9298-8 F279
Word/Excel/PPT2019办公应用实战从入门到精通 许永超编著 978-7-115-50035-9 TP317
用英语讲中国故事 主编胡敏 978-7-01-020878-7 H319
餐饮管理实用流程·制度·表格·文本 匡仲潇主编 978-7-122-34745-9 F719
大资本 朱宝著 978-7-5491-1920-2 F426
叔本华思想随笔 (德)叔本华著 978-7-208-15741-5 B516
税务稽查 中央财经大学税收教育研究所编著 978-7-5095-8905-2 F812
世俗主义之乐 (英)乔治·莱文编 978-7-5447-7688-2 B821-53
西方美学史 朱光潜著 978-7-5213-1292-8 B83-095
财务管理 陈玉菁主编 978-7-300-27319-8 F275
现代企业生产运营管理 王映川著 978-7-5170-7691-9 F273
新型开放大国 迟福林主编 978-7-5008-7235-1 F124
他山的石头记 (美)宇文所安著 978-7-108-06450-9 I206
不薄今人爱古人 洪丕谟著 978-7-5586-1344-9 I207
销售一定要懂的营销思维 刘悦坦著 978-7-115-51329-8 F713
精致的独处 (美)斯蒂芬妮·罗森布鲁姆著 978-7-5596-3195-4 I712
地球上最孤单的动物 (英)米莉·玛洛塔著 978-7-5410-8884-1 Q111
哈利·波特：魔杖收藏手册 (美)莫尼克·皮特森著 978-7-5133-3543-0 J905
税务稽查实操从新手到高手 黄德荣著 978-7-113-24873-4 F812
大数据时代思想政治教育新探 刁生富...[等]著 978-7-5130-6300-5 D64
吃饭，流汗，玩耍 (英)安娜·卡塞尔著 978-7-5139-2332-3 G806
董卿 李子涓著 978-7-5500-3243-9 H019-49
海子经典诗选 海子著 978-7-5399-9724-7 I227
中国知识产权年鉴 国家知识产权局主办 978-7-5130-6049-3 D923
中国农村统计年鉴 国家统计局农村社会经济调查司编 978-7-5037-8778-2 C832-54
中国城市统计年鉴 国家统计局城市社会经济调查司编 978-7-5037-8770-6 C832-54
成熟 陶瓷兔子著 978-7-5596-3315-6 B848
王晓晔论反垄断法 王晓晔著 978-7-5201-4903-7 D922
战国策注释 何建章注释 978-7-101-13894-8 K231
房地产企业所得税汇算清缴操作指南 林佳良编著 978-7-5429-6120-4 F812
法理学配套测试 教学辅导中心组编 978-7-5216-0382-8 D903-44
中国法律史配套测试 教学辅导中心组编 978-7-5216-0329-3 D929-44
宪法配套测试 教学辅导中心组编 978-7-5216-0335-4 D921-44
行政法与行政诉讼法配套测试 教学辅导中心组编 978-7-5216-0373-6 D922
民法配套测试 教学辅导中心组编 978-7-5216-0338-5 D923-44
商法配套测试 教学辅导中心组编 978-7-5216-0327-9 D923
知识产权法配套测试 教学辅导中心组编 978-7-5216-0333-0 D923
民事诉讼法配套测试 教学辅导中心组编 978-7-5216-0374-3 D925
刑法配套测试 教学辅导中心组编 978-7-5216-0330-9 D924-44
国际法配套测试 教学辅导中心组编 978-7-5216-0393-4 D99-44
国际经济法配套测试 教学辅导中心组编 978-7-5216-0331-6 D996-44
环境资源法配套测试 教学辅导中心组编 978-7-5216-0336-1 D922
国际私法配套测试 教学辅导中心组编 978-7-5216-0337-8 D997-44
日本还是第一吗？ (美)傅高义著 978-7-5327-8310-6 D731
共产党员应知的党史小故事 人民日报社政治文化部编 978-7-01-021040-7 D23-53
六级听力强化训练300题 新东方考试研究中心编著 978-7-5536-8183-2 H319
线性代数 谢小贤主编 978-7-302-52920-0 O151
世说新语 (南朝宋)刘义庆著 978-7-5538-0783-6 I242
《世说新语》研究史论 刘强著 978-7-309-14747-6 I207
劳动与社会保障法配套测试 教学辅导中心组编 978-7-5216-0332-3 D922
严选数独 谢道台，林敏舫，贾乾坤编著 978-7-03-059434-1 G898
学生常用法规全书 中国法制出版社编 978-7-5216-0036-0 D920
精益智能物流与供应链管理创新方法及其应用 主编杨晓英 978-7-5136-5835-5 F426
新时代的中国法治改革 公丕祥主编 978-7-5197-3676-7 D920
社会治理创新中的法治绩效研究 刘爱龙著 978-7-5197-3020-8 D922
法学教育研究 杨宗科主编 978-7-5197-3300-1 D92-4
民法道德论 王利民著 978-7-5197-3312-4 D90-053
行政诉讼证据规则 阎巍著 978-7-5197-3040-6 D925
征地拆迁焦点问题实务指引及案例解析 纪召兵著 978-7-5216-0277-7 D922
打击跨国人口贩运的国际法律制度研究 魏怡然著 978-7-5197-3459-6 D997
日本民事再审事由研究 翟志文著 978-7-5197-3368-1 D931
新发展理念下中国金融机构社会责任立法问题研究 刘志云等著 978-7-5197-3214-1 D922
法条竞合视野下的单位犯罪研究 杨国章著 978-7-5197-3044-4 D924
中国粮食安全的倾斜性金融支持法律机制研究 肖顺武著 978-7-5197-3495-4 D922
人民法院司法改革热点问题 主编薛峰 978-7-5197-2393-4 D926
核损害赔偿责任制度研究 陈建著 978-7-5197-3444-2 D911
反垄断执法权配置问题研究 谭袁著 978-7-5197-3400-8 D922
循证矫正理论研究与实践探索 主编高贞 978-7-5197-3661-3 D926
《聊斋志异》面面观 马振方著 978-7-200-14488-8 I207
聊斋志异风情谭 马瑞芳著 978-7-100-16648-5 I207
中国法院2019年度案例 国家法官学院案例开发研究中心编 978-7-5216-0129-9 D925
“不益惩肃之理”的法理解析 陈江著 978-7-5197-3262-2 D920
企业知识产权管理 王小兵著 978-7-5216-0139-8 D913
中国社会科学院民法典分则草案建议稿 陈甦主编 978-7-5197-3488-6 D923
法学教育研究 杨宗科主编 978-7-5197-3340-7 D92-4
物权法定原则 黄泷一著 978-7-5197-2132-9 D923
刑事诉讼法配套测试 教学辅导中心组编 978-7-5216-0328-6 D925
刑法解释 魏东主编 978-7-5197-3015-4 D924
刑事审判中的言词原则研究 孙志伟著 978-7-5197-3651-4 D925
论当代中国警政范式之嬗变与重构 胡建刚著 978-7-5197-3052-9 D631
论共有私产及其法律治理 付大学著 978-7-5197-3347-6 D923
企业全新税收优惠政策汇编与解读 应志雄编著 978-7-5216-0279-1 F812
保险法律热点问题研究 主编董波 978-7-5197-3163-2 D922
民事案件案由规定理解适用与案例指引 张小洁编著 978-7-5093-8727-6 D925
劳动关系法律调整的核心机制研究 肖竹著 978-7-5216-0345-3 D922
中国法学大事记 主编王奇才 978-7-5118-9034-4 D929
民法总则专题讲义 张鸣起主编 978-7-5197-2961-5 D923
不动产占有人作为义务研究 刘小鹏著 978-7-5197-3269-1 D923
领导干部运用法治思维和法治方式培训教程 张越编著 978-7-5216-0375-0 D920
一本书读懂新个人所得税法 蔡昌主编 978-7-5216-0397-2 D922
农村法律援助体系的创新和发展研究 梁高峰著 978-7-5197-3093-2 D926
《联合国海洋法公约》争端解决强制管辖权研究 李文杰著 978-7-5197-3434-3 D993
生态福利法律制度研究 刘茜著 978-7-5197-3358-2 D912
人格导入定罪研究 胡东平著 978-7-5197-3667-5 D924
公司章程陷阱及72个核心条款设计指引 编委会:唐青林...[等] 978-7-5216-0321-7 D922
罗马法中的信托制度研究 史志磊著 978-7-5197-3445-9 D904
参与式预算 程国琴著 978-7-5197-3657-6 F812
人大在财产权平等保护中的作用和机制 杨官鹏著 978-7-5197-3458-9 D923
法律数字 曲笑飞著 978-7-5197-3294-3 D9-39
个人信息的刑法保护 汪东升著 978-7-5197-3656-9 D923
