c++程序设计教程（通用版）（第三版） 钱能著 978-7-3025-2126-6 TP313
成化皇帝全传 廖心一著 978-7-5155-1866-4 I247
司法人员分类管理改革研究 时小云主编 978-7-5197-3587-6 D926
后金融危机时代的国际经济治理体系重塑和二十国集团 沈伟著 978-7-5197-3666-8 F116
法律信仰的理念与基础 谢晖著 978-7-5197-3064-2 D90
民事专家证据司法控制机制研究 周一颜著 978-7-5197-3313-1 D925
加害人不明规则研究 查碧然著 978-7-5197-3019-2 D923
法学多元化实践教学模式与路径研究 胡玉霞著 978-7-5197-3137-3 D90
农村集体土地增值利益分享法治化研究 龚暄杰著 978-7-5197-3586-9 D922
企业信用监管法律制度研究 范水兰著 978-7-5197-3592-0 D922
刑法激励制度研究 尹振国著 978-7-5197-3602-6 D914
中国法律实证研究 四川大学法律实证研究所主办 978-7-5197-3259-2 D920
加拿大法律制度的历史发展 李彤著 978-7-5197-1795-7 D971
格式条款规制体系研究 马辉著 978-7-5197-3176-2 D922
反不正当竞争法新原理 孔祥俊著 978-7-5197-3023-9 D922
基于药品专利诉讼战略的技术创新研究 刘立春著 978-7-5197-3076-5 D923
人生法律解答书 维权帮编 978-7-5093-9727-5 D920
社会法视角下的社会保险制度研究 何平著 978-7-5197-3484-8 F840
抢劫罪量刑经验研究 赵学军著 978-7-5197-3084-0 D924
国际法视野下二氧化碳海洋封存问题及规则研究 吴益民著 978-7-5197-3215-8 D993
中国民营企业劳动关系报告 中华全国工商业联合会编 978-7-5197-2655-3 F279
见证中国法治 沈德咏著 978-7-5118-9051-1 D925
中国金融消费者权益保护研究报告 李爱君主编 978-7-5197-3327-8 D922
我国改革开放40年立法成就概述 全国人大常委会法制工作委员会研究室编 978-7-5197-3412-1 D920
中国国际私法与比较法年刊 中国国际私法学会主办 978-7-5197-3496-1 D997
中国国际私法与比较法年刊 中国国际私法学会主办 978-7-5197-3540-1 D997
论法律解释方法的逻辑基础 柳驰著 978-7-5197-3627-9 D910
中华人民共和国刑事诉讼法逐条解读与适用指引 主编缪树权 978-7-5216-0402-3 D925
程序正义与司法改革要论 中国人民大学诉讼制度与司法改革研究中心编 978-7-5197-3603-3 D925
立法法理学 王保民主编 978-7-5118-9634-6 D901
互联网金融监管研究 何剑锋著 978-7-5197-3030-7 F830
外国典型法律制度导论 张海斌，孔凡洲等著 978-7-5197-3077-2 D910
唐研究 主编葉煒 978-7-301-30539-3 K242
法律和社会科学 苏力主编 978-7-5197-3285-1 D90-53
食品安全权利救济机制研究 曾祥华主编 978-7-5197-3204-2 D922
犯罪预防原理 王瑞山著 978-7-5197-3704-7 D917
法律和社会科学 苏力主编 978-7-5197-3441-1 D90-53
知识产权评议的原理与制度研究 朱一飞著 978-7-5197-3526-5 D913
案例故事中的清代刑法史初探 张田田著 978-7-5197-3045-1 D924
中国法治实践学派 钱弘道主编 978-7-5197-3288-2 D920
“一带一路”沿线投资风险法律应对研究 王军杰著 978-7-5197-3654-5 D922
网络司法拍卖法律问题研究 张元华著 978-7-5197-3216-5 D922
地票制度研究 黄忠著 978-7-5197-3244-8 D922
曾国藩传 (美)黑尔著 978-7-5702-0036-8 K827=52
中华人民共和国环境保护法 中国法制出版社编 978-7-5216-0000-1 D922
资源枯竭型城市可持续发展法治研究 唐启迪著 978-7-5197-3235-6 F299
作为法律价值的整体性 樊安著 978-7-5197-3217-2 D909
党的问责规定学习手册 中国法制出版社编 978-7-5216-0434-4 D262
修行 (印)罗宾德拉纳特·泰戈尔著 978-7-5197-3087-1 K833
行政法论丛 沈岿主编 978-7-5197-3460-2 D922
受贿罪刑罚制度研究 韩晋萍著 978-7-5197-3049-9 D924
环境审判机制创新研究 吴勇著 978-7-5197-3149-6 D922
责任保险的扩张与应用 罗璨著 978-7-5197-3708-5 D922
新经济公司双层股权结构法律制度研究 高菲著 978-7-5197-3564-7 D922
中华法文化要略 张晋藩著 978-7-5197-2734-5 D909
法律的故事 (美)约翰·麦克西·赞恩著 978-7-5093-6848-0 D909
基层政府社会稳定治理的法治指标体系构建 何跃军著 978-7-5197-3474-9 D625
企业税务筹划 盖地主编 978-7-5654-3635-2 F810
谈话调研方法 陈树强等编著 978-7-5099-1089-4 C31
行政法及司法解释新编 中国法制出版社编 978-7-5216-0178-7 D922
《涉外民事关系法律适用法》实施研究 徐伟功著 978-7-5197-3185-4 D923
最新个人所得税法及其实施条例100问 中国法制出版社编 978-7-5093-9956-9 D922
最新领导干部依法行政常用法律法规手册 《最新领导干部依法行政常用法律法规手册》编写组编 978-7-5216-0289-0 D920
宋代土地交易契约与诉讼研究 李文静著 978-7-5197-3272-1 D922
内部行政程序研究 罗许生著 978-7-5197-3401-5 D922
《技术性贸易壁垒协定》中标准规则的法律解释问题研究 董静然著 978-7-5197-1954-8 F744
司法信息公开的理论探讨与制度构建 李荣珍...[等]著 978-7-5197-3469-5 D926
刑事不法内涵在犯罪化立法中的作用研究 徐海波著 978-7-5197-3561-6 D924
侵权法研究 侯雪梅著 978-7-5197-3372-8 D923
法律行为制度研究 鲁春雅著 978-7-5197-1751-3 D90
最新农村土地承包法100问 中国法制出版社编 978-7-5216-0026-1 D922
页岩气开发法律问题研究 刘超著 978-7-5197-3228-8 D922
遗嘱自由与限制研究 段伟伟著 978-7-5197-3538-8 D923
婚姻家庭法及司法解释新编 中国法制出版社编 978-7-5216-0177-0 D923
农村土地承包法学法用法案例读本 徐宪江编著 978-7-5216-0043-8 D922
真实世界的法律思维 黄文伟著 978-7-5197-3220-2 D90-059
美国土地利用规划权的配置 赵力著 978-7-5197-3509-8 F371
看得见的正义 陈瑞华著 978-7-5197-3189-2 D90
超实用儿童心理学 托德老师著 978-7-111-63108-8 B844
道路运输事故典型案例原因及处置分析 闫中平著 978-7-5509-2493-2 U491
公共安全管理系统脆弱性与重大事故源头治理 董幼鸿著 978-7-01-021161-9 X928
一间自己的房间 (英)维吉尼亚·伍尔夫著 978-7-5217-0922-3 I561
外交外事文书写作 主编张庆 978-7-5195-0320-8 C931
君主论 (意)马基雅维利著 978-7-5535-1639-4 D033
司法的温度与界限 李广宇著 978-7-5197-3353-7 D925
思想政治教育心理学 主编杨芷英 978-7-300-26443-1 D64
论犯罪构成的结构与功能 陈银珠著 978-7-5197-3054-3 D914
城市公共空间商业化利用法律问题研究 吕来明主编 978-7-5197-3117-5 D923
中华人民共和国检察官法解读 主编王爱立 978-7-5216-0261-6 D926
中华人民共和国新法规汇编 司法部编 978-7-5216-0195-4 D920
中华人民共和国新法规汇编 司法部编 978-7-5216-0219-7 D920
中华人民共和国新法规汇编 司法部编 978-7-5216-0228-9 D920
中华人民共和国新法规汇编 司法部编 978-7-5216-0019-3 D920
中国宏观调控法基本问题研究 董玉明著 978-7-5197-0324-0 D922
公安机关常用法律政策全典 中国法制出版社编 978-7-5093-9095-5 D922
中国国际法年刊 中国国际法学会主编 978-7-5197-3421-3 D99-54
中国法院2019年度案例 国家法官学院案例开发研究中心编 978-7-5216-0052-0 D925
中国法院2019年度案例 国家法官学院案例开发研究中心编 978-7-5216-0054-4 D925
中国法院2019年度案例 国家法官学院案例开发研究中心编 978-7-5216-0111-4 D925
中国法院2019年度案例 国家法官学院案例开发研究中心编 978-7-5216-0048-3 D925
中国法院2019年度案例 曹士兵主编 978-7-5216-0150-3 D925
中国法院2019年度案例 国家法官学院案例开发研究中心编 978-7-5216-0053-7 D925
中国法院2019年度案例 国家法官学院案例开发研究中心编 978-7-5216-0144-2 D925
中国法院2019年度案例 主编曹士兵 978-7-5216-0051-3 D925
中国法院2019年度案例 国家法官学院案例开发研究中心编 978-7-5216-0161-9 D925
全面推进依法治国的地方实践 中国法学会编 978-7-5197-3351-3 D920
商事法论集 清华大学商法研究中心编 978-7-5197-3261-5 D913
中国资本市场法制发展报告 中国证券监督管理委员会 978-7-5197-3566-1 D922
四世同堂 老舍著 978-7-5594-3031-1 I246
行测必做5000题 李永新主编 978-7-5192-6061-3 D630
行测必做5000题 李永新主编 978-7-5192-6057-6 D630
行测金题精炼 李永新著 978-7-5192-6065-1 D630
图解Python (日)株式会社ANK著 978-7-5153-5720-1 TP311
叶芝诗选 (爱尔兰)威廉·巴特勒·叶芝著 978-7-5159-1557-9 H319
东北森林植物原色图谱 主编曹伟 978-7-03-056201-2 Q948
逝水 汪曾祺著 978-7-5426-6661-1 I267
陈寅恪家族史料整理研究 刘经富编著 978-7-5325-9373-6 K820
刑事审判参考 最高人民法院刑事审判第一、二、三、四、五庭主办 978-7-5197-3224-0 D925
中国建设工程法律评论 本书编委会编 978-7-5197-2889-2 D922
中国学术名著提要 中国学术名著提要编委会编 978-7-309-06792-7 Z835
中国学术名著提要 中国学术名著提要编委会编 978-7-309-06793-4 Z835
四极日记 葛剑雄著 978-7-309-14423-9 I267
启蒙 (美)詹姆斯·麦格雷戈·伯恩斯著 978-7-5496-2781-3 B504
执行与执行异议疑难问题全解与典型案例裁判规则 张春光著 978-7-5197-3588-3 D925
执行异议之诉的规则与裁判 范向阳主编 978-7-5109-2652-5 D925
纪检监察实务百问百答 刘飞著 978-7-5216-0362-0 D262
中華禮藏 (宋)魏了翁撰 978-7-308-18519-6 K892
担保法前沿问题与判解研究 高圣平著 978-7-5109-2723-2 D923
2019年国家统一法律职业资格考试单元同步一分一练 法律考试中心 978-7-5197-3419-0 D9-44
基于金融伦理评价的商业银行核心竞争力研究 卿定文著 978-7-5667-1696-5 F830
近代中国银行监管制度思想研究 何业嘉著 978-7-5642-3090-6 F832
换一种方式打开美术史 王祎著 978-7-5480-7207-2 J110
程智集 (明)程智撰 978-7-5201-5327-0 B248
左传探源 王和著 978-7-5201-5198-6 K225
中国战略性新兴产业发展报告 中国工程科技发展战略研究院 978-7-03-062829-9 F279
知识产权法案例评析 何隽主编 978-7-5130-6294-7 D923
亚太研究论丛 北京大学亚洲-太平洋研究院编 978-7-301-30504-1 D730
四世同堂 老舍著 978-7-5063-9580-9 I246
中国古代司法文明史 张晋藩主编 978-7-01-020157-3 D929
民商法论丛 梁慧星主编 978-7-5201-5757-5 D913-55
中国邮轮产业发展报告 主编汪泓 978-7-5201-5537-3 F592
劳动关系法治化探索 姜颖主编 978-7-5197-3728-3 D922
中华易学 张涛主编 978-7-01-021361-3 B221
万艳书 伍倩著 978-7-5594-3874-4 I247
河南文化发展报告 谷建全主编 978-7-5201-5335-5 G127
胡同胜景 万安伦主编 978-7-200-14560-1 K921
柏拉图《法义》研究、翻译和笺注 林志猛著 978-7-5675-9693-1 B502
多省市公务员联考申论新思维学习教程 李永新主编 978-7-5115-6144-2 D630
整体网分析 刘军编著 978-7-5432-2771-2 C912
Office2019办公应用从入门到精通 龙马高新教育编著 978-7-301-30392-4 TP317
探骊 刘上生著 978-7-5540-1512-4 I207
錢謙益的“詩史”理論與實踐 嚴志雄著 978-7-101-14139-9 I207
羽之境 祁骥程著 978-7-309-14165-8 J429
中国诉讼法治发展报告 主编卞建林 978-7-5620-9212-4 D925
马克思主义中国化思想通史 孙建华著 978-7-01-020353-9 D61
向和平宣战 (美)罗南·法罗著 978-7-5201-4955-6 D871
北京志愿服务组织案例集 北京志愿服务发展研究会 978-7-01-016890-6 D669
走向繁荣的国际法学 莫纪宏总主编 978-7-5201-5520-5 D99-53
精神明亮的人 王开岭著 978-7-5571-0025-4 I217
国家科技基础性工作专项资源与环境领域项目成果编研 杨雅萍...[等]著 978-7-03-059319-1 G322
七侯笔录 马伯庸著 978-7-5404-9080-5 I247
图解唐诗三百首 (清)蘅塘退士编 978-7-5502-8201-8 I222
工业生物技术 (美)M.C.弗利金杰主编 978-7-03-048331-7 Q81
西域第一都护 天地飘鸥著 978-7-5104-6814-8 I247
舒州天柱山诗词辑校注解 韩结根著 978-7-309-14031-6 I222
世界通史 (美)菲利普·范·内斯·迈尔斯著 978-7-5455-4241-7 K109
中国生态文明建设发展报告 严耕主编 978-7-301-30669-7 X321
考研政治强化1500题 主编石磊...[等] 978-7-5124-3043-3 D0-44
丰田超级精进术 (日)若松义人著 978-7-5699-0798-8 F431
中国现代文学论丛 教育部人文社会科学重点研究基地南京大学中国新文学研究中心主办 978-7-305-10509-8 I206
刑事审判参考 最高人民法院刑事审判第一、二、三、四、五庭主办 978-7-5197-4146-4 D925
刑事审判参考 中华人民共和国最高人民法院刑事审判第一庭编 978-7-5197-4147-1 D925
文化产业研究 主编顾江 978-7-305-07637-4 G114-53
中国传统文化与高校思想政治教育的融合性研究 齐艳著 978-7-5043-8227-6 K203
徐志摩全集 韩石山编 978-7-100-17599-9 I216
堯山堂外紀 (明)蔣一葵撰 978-7-101-14038-5 I209
稀見明清科舉文獻十五種 陳維昭編校 978-7-309-14000-2 D691
陶望齡全集 (明)陶望齡撰 978-7-5325-9354-5 B248
科学度量Two 杨新洪编著 978-7-5203-4926-0 C832
人大·档案·记忆 中国人民大学档案馆编 978-7-300-27180-4 G649
做一个灵魂独立而丰富的女子 西川木兰著 978-7-5402-5385-1 B848
周易集注 (明)來知德撰 978-7-101-13661-6 B221
行测必做5000题 李永新主编 978-7-5192-6060-6 D630
申论必做100题 李永新主编 978-7-5192-6106-1 D630
主角 陈彦著 978-7-5695-0609-9 I247
大学英语6级写作范文100篇 主编钦寅 978-7-88765-984-2 H315
东北植物分布图集 主编曹伟 978-7-03-056200-5 Q948
大金王朝 熊召政著 978-7-5302-1989-8 I247
長安學研究文獻匯刊 賈二強主編 978-7-03-059905-6 K294
中国实验动物学会团体标准汇编及实施指南 秦川主编 978-7-03-060456-9 R-332
世說新語校釋 (南朝宋)劉義慶撰 978-7-5325-9353-8 I242
人生菜单上的选择 读者丛书编辑组编 978-7-226-05426-0 I267
2020国家统一法律职业资格考试分类法规随身查 飞跃考试辅导中心编 978-7-5216-0516-7 D920
中东欧国家2018年回顾和2019年展望 陈新主编 978-7-5203-5045-7 D751
法学教育研究 杨宗科主编 978-7-5197-3574-6 D92-4
大金王朝 熊召政著 978-7-5302-2004-7 I247
2020国家统一法律职业资格考试分类法规随身查 飞跃考试辅导中心编 978-7-5216-0509-9 D920
2020国家统一法律职业资格考试分类法规随身查 飞跃考试辅导中心编 978-7-5216-0510-5 D920
蜀地唐音 彭志强著 978-7-5115-6070-4 I267
2019年国家统一法律职业资格考试主观题通关包 法律考试中心组编 978-7-5197-3780-1 D92-44
中国新闻传播研究 高晓虹主编 978-7-5657-2521-0 G219
魏晋政治与皇权传递 权家玉著 978-7-5201-5328-7 K235
秦汉社会观念与政治秩序论稿 崔建华著 978-7-5201-3529-0 D691
清代通史 萧一山著 978-7-100-14074-4 K249
天渊 (美)弗诺·文奇著 978-7-5596-3012-4 I712
最优边界 周志成著 978-7-309-14301-0 F062
最优边界 周志成著 978-7-309-14302-7 F062
冯仑 冯仑著 978-7-5217-0537-9 F299
人间词话全鉴 (清)王国维著 978-7-5180-6128-0 I207
古文观止 施中狱编注 978-7-5699-2792-4 H194
弃儿汤姆·琼斯史 (英)亨利·菲尔丁著 978-7-02-011053-7 I561
深渊上的火 (美)弗诺·文奇著 978-7-5596-2982-1 I712
北大保险时评 孙祁祥等著 978-7-301-30654-3 F842
新编刑法罪名精释 周峰主编 978-7-5216-0431-3 D924
歌德谈话录 (德)爱克曼著 978-7-5183-2747-8 I516
中文的中文性研究 申小龙著 978-7-309-14300-3 H1-05
江南 格非著 978-7-5302-1980-5 I247
罗马阳台 (法)帕斯卡·基尼亚尔著 978-7-5598-1962-8 I565
冬青老人口述 卞孝萱口述 978-7-5506-3030-7 K206
宾组卜辞研究 王建军著 978-7-03-061788-0 K877
西域文史 朱玉麒主编 978-7-03-061732-3 K294
边疆考古研究 教育部人文社会科学重点研究基地吉林大学边疆考古研究中心编 978-7-03-062076-7 K872-53
《近思录》集校集注集评 程水龙撰 978-7-5325-9359-0 B244
馬藏 北京大學《馬藏》編纂與研究中心編纂 978-7-03-059687-1 A81-53
馬藏 北京大學《馬藏》編纂與研究中心編纂 978-7-03-059689-5 A81-53
馬藏 北京大學《馬藏》編纂與研究中心編纂 978-7-03-059688-8 A81-53
中财法律评论 陈宝妮主编 978-7-5216-0556-3 D9-53
产业组织评论 于左主编 978-7-5218-0830-8 F062
深度学习 张宪超著 978-7-03-059956-8 TP181
苏州上市公司发展报告 薛誉华...[等]主编 978-7-309-14626-4 F279
中国现代化报告 何传启主编 978-7-301-30711-3 D614
法治论坛 广州市法学会编 978-7-5216-0583-9 D90-55
最强大脑训练课 李腾云著 978-7-5216-0504-4 G898
燕京创意文化产业学刊 包晓光主编 978-7-5203-4898-0 G124-55
国学集刊 景海峰主编 978-7-100-16455-9 Z126
文化场馆 韩国A&C出版社著 978-7-5304-9395-3 TU242-64
国际文化市场报告 主编李怀亮 978-7-5638-2966-8 G114
西藏古建筑测绘图集 西藏自治区文物保护研究所编著 978-7-03-062233-4 TU198-64
儒林外史 吴敬梓著 978-7-5212-0302-8 I242
英语专四听写 本书编写组编 978-7-5100-7917-7 H310
像美国人那样说英语 李秀兰编著 978-7-5180-5105-2 H319
莊子義證莊子天下篇述義 許嘉璐主編 978-7-5540-1415-8 B223
庄子新解 张景注译 978-7-01-020399-7 B223
为人三会 路天章主编 978-7-220-11602-5 B821-49
“合道而行” 吴增礼著 978-7-5201-4873-3 D691
六译先生选集 廖平著 978-7-5531-1011-0 Z126
蘇軾海外集箋注 高智笺注 978-7-5531-1142-1 I207
中华巴文化华胥伏羲论文集 主编邱述学 978-7-5531-1219-0 K872
敦煌本文選舊注疏證三種 羅國威著 978-7-5531-1122-3 I206
秦汉史 李源澄著 978-7-5531-1119-3 K232
中国史学史 蒙文通著 978-7-5531-1116-2 K092
周秦少数民族研究 蒙文通著 978-7-5531-1117-9 K280
《海山存稿》点校 (清)周煌著 978-7-5531-1159-9 I222
经学抉原 蒙文通著 978-7-5531-1118-6 Z126
咸平集 (宋)田錫撰 978-7-5531-1197-1 I214
赵树吉集校注 (清)赵树吉著 978-7-5531-1239-8 I214
发现·中山国 成都金沙遗址博物馆，河北博物院，河北省文物研究所编 978-7-5531-1198-8 K878
财务共享综合实训 马建军主编 978-7-121-37629-0 F234
一本书了解女性身体健康 (日)片山洋次郎著 978-7-121-37807-2 R173
南方电网互联网统一服务平台 主编罗辑 978-7-121-37734-1 F426
人老了怎么活 张定著 978-7-218-14039-1 D669
隐形的社群 (秘)柯裴著 978-7-218-13937-1 D777
叶渭渠集 叶渭渠著 978-7-218-13985-2 I313
实现湖南经济发展补短板新突破 左宏著 978-7-5561-2363-6 F127
共和国第九烈士 刘晓农著 978-7-5561-2220-2 K825
《反杜林论》学习笔记 文选德编著 978-7-5561-2415-2 A811
毛泽东的故事人生 湖南省韶山管理局编著 978-7-5561-2417-6 A752-49
欧盟-俄罗斯关系 (荷)安妮-索菲·马斯著 978-7-5561-2368-1 D850
希腊经济发展新模式 (希)帕纳约蒂斯·E.佩特拉基斯主编 978-7-5561-2364-3 F154
当代泰国社会、文化与政治透视 (澳)巴妮·莲蒲通主编 978-7-5561-2369-8 D733
古代文学理论研究 胡晓明主编 978-7-5675-9914-7 I206
